dataset,version,metric,mode,deepseek-v3.2,qwen3.5-35b-a3b
arb_math_numerical,24f911,accuracy,gen,88.46,94.23
arb_math_numerical,24f911,no_delimiter_rate,gen,0.00,0.00
arb_math_numerical,24f911,parse_fail_rate,gen,0.00,1.92
arb_physics_numerical,24f911,accuracy,gen,58.75,56.25
arb_physics_numerical,24f911,no_delimiter_rate,gen,0.00,0.00
arb_physics_numerical,24f911,parse_fail_rate,gen,1.25,3.75
arb_law_mc,f6997d,accuracy,gen,77.19,74.48
arb_law_mc,f6997d,parse_fail_rate,gen,0.00,0.00
arb_mcat_science_val,f6997d,accuracy,gen,90.77,89.23
arb_mcat_science_test,f6997d,accuracy,gen,93.42,94.74
arb_mcat_reading,f6997d,accuracy,gen,87.18,85.90
arb_math_symbolic,4a2735,accuracy,gen,44.12,50.00
arb_math_symbolic,4a2735,manual_review_rate,gen,50.00,47.06
arb_physics_symbolic,4a2735,accuracy,gen,38.89,33.33
arb_physics_symbolic,4a2735,manual_review_rate,gen,38.89,44.44
arb_math_prooflike,4c7a06,accuracy,gen,71.58,82.63
arb_math_prooflike,4c7a06,avg_rubric_score,gen,7.16,8.26
arb_math_prooflike,4c7a06,judge_fail_rate,gen,0.00,0.00
